,close,open,high,low,pre_close
2005-01-04,null,null,null,null,null
2005-01-05,null,null,null,null,null
2005-01-06,null,null,null,null,null
2005-01-07,null,null,null,null,null
2005-01-10,null,null,null,null,null
2005-01-11,null,null,null,null,null
2005-01-12,null,null,null,null,null
2005-01-13,null,null,null,null,null
2005-01-14,null,null,null,null,null
2005-01-17,null,null,null,null,null
2005-01-18,null,null,null,null,null
2005-01-19,null,null,null,null,null
2005-01-20,null,null,null,null,null
2005-01-21,null,null,null,null,null
2005-01-24,null,null,null,null,null
2005-01-25,null,null,null,null,null
2005-01-26,null,null,null,null,null
2005-01-27,null,null,null,null,null
2005-01-28,null,null,null,null,null
2005-01-31,null,null,null,null,null
2005-02-01,null,null,null,null,null
2005-02-02,null,null,null,null,null
2005-02-03,null,null,null,null,null
2005-02-04,null,null,null,null,null
2005-02-16,null,null,null,null,null
2005-02-17,null,null,null,null,null
2005-02-18,null,null,null,null,null
2005-02-21,null,null,null,null,null
2005-02-22,null,null,null,null,null
2005-02-23,null,null,null,null,null
2005-02-24,null,null,null,null,null
2005-02-25,null,null,null,null,null
2005-02-28,null,null,null,null,null
2005-03-01,null,null,null,null,null
2005-03-02,null,null,null,null,null
2005-03-03,null,null,null,null,null
2005-03-04,null,null,null,null,null
2005-03-07,null,null,null,null,null
2005-03-08,null,null,null,null,null
2005-03-09,null,null,null,null,null
2005-03-10,null,null,null,null,null
2005-03-11,null,null,null,null,null
2005-03-14,null,null,null,null,null
2005-03-15,null,null,null,null,null
2005-03-16,null,null,null,null,null
2005-03-17,null,null,null,null,null
2005-03-18,null,null,null,null,null
2005-03-21,null,null,null,null,null
2005-03-22,null,null,null,null,null
2005-03-23,null,null,null,null,null
2005-03-24,null,null,null,null,null
2005-03-25,null,null,null,null,null
2005-03-28,null,null,null,null,null
2005-03-29,null,null,null,null,null
2005-03-30,null,null,null,null,null
2005-03-31,null,null,null,null,null
2005-04-01,null,null,null,null,null
2005-04-04,null,null,null,null,null
2005-04-05,null,null,null,null,null
2005-04-06,null,null,null,null,null
2005-04-07,null,null,null,null,null
2005-04-08,null,null,null,null,null
2005-04-11,null,null,null,null,null
2005-04-12,null,null,null,null,null
2005-04-13,null,null,null,null,null
2005-04-14,null,null,null,null,null
2005-04-15,null,null,null,null,null
2005-04-18,null,null,null,null,null
2005-04-19,null,null,null,null,null
2005-04-20,null,null,null,null,null
2005-04-21,null,null,null,null,null
2005-04-22,null,null,null,null,null
2005-04-25,null,null,null,null,null
2005-04-26,null,null,null,null,null
2005-04-27,null,null,null,null,null
2005-04-28,null,null,null,null,null
2005-04-29,null,null,null,null,null
2005-05-09,null,null,null,null,null
2005-05-10,null,null,null,null,null
2005-05-11,null,null,null,null,null
2005-05-12,null,null,null,null,null
2005-05-13,null,null,null,null,null
2005-05-16,null,null,null,null,null
2005-05-17,null,null,null,null,null
2005-05-18,null,null,null,null,null
2005-05-19,null,null,null,null,null
2005-05-20,null,null,null,null,null
2005-05-23,null,null,null,null,null
2005-05-24,null,null,null,null,null
2005-05-25,null,null,null,null,null
2005-05-26,null,null,null,null,null
2005-05-27,null,null,null,null,null
2005-05-30,null,null,null,null,null
2005-05-31,null,null,null,null,null
2005-06-01,null,null,null,null,null
2005-06-02,null,null,null,null,null
2005-06-03,null,null,null,null,null
2005-06-06,null,null,null,null,null
2005-06-07,null,null,null,null,null
2005-06-08,null,null,null,null,null
2005-06-09,null,null,null,null,null
2005-06-10,null,null,null,null,null
2005-06-13,null,null,null,null,null
2005-06-14,null,null,null,null,null
2005-06-15,null,null,null,null,null
2005-06-16,null,null,null,null,null
2005-06-17,null,null,null,null,null
2005-06-20,null,null,null,null,null
2005-06-21,null,null,null,null,null
2005-06-22,null,null,null,null,null
2005-06-23,null,null,null,null,null
2005-06-24,null,null,null,null,null
2005-06-27,null,null,null,null,null
2005-06-28,null,null,null,null,null
2005-06-29,null,null,null,null,null
2005-06-30,null,null,null,null,null
2005-07-01,null,null,null,null,null
2005-07-04,null,null,null,null,null
2005-07-05,null,null,null,null,null
2005-07-06,null,null,null,null,null
2005-07-07,null,null,null,null,null
2005-07-08,null,null,null,null,null
2005-07-11,null,null,null,null,null
2005-07-12,null,null,null,null,null
2005-07-13,null,null,null,null,null
2005-07-14,null,null,null,null,null
2005-07-15,null,null,null,null,null
